"","celltype"
"Dat1_Cell_00809","eL4"
"Dat1_Cell_00812","eL5"
"Dat1_Cell_00813","eL4"
"Dat1_Cell_00814","eL5"
"Dat1_Cell_00815","eL2/3"
"Dat1_Cell_00816","PVALB"
"Dat1_Cell_00817","Astro"
"Dat1_Cell_00818","eL4"
"Dat1_Cell_00819","Oligo"
"Dat1_Cell_00820","Micro"
"Dat1_Cell_00821","eL2/3"
"Dat1_Cell_00822","eL2/3"
"Dat1_Cell_00823","Oligo"
"Dat1_Cell_00824","Oligo"
"Dat1_Cell_00825","Endo"
"Dat1_Cell_00826","Astro"
"Dat1_Cell_00827","eL4"
"Dat1_Cell_00828","eL6"
"Dat1_Cell_00829","Astro"
"Dat1_Cell_00830","eL2/3"
"Dat1_Cell_00832","eL6"
"Dat1_Cell_00833","Endo"
"Dat1_Cell_00835","Micro"
"Dat1_Cell_00836","eL6"
"Dat1_Cell_00837","eL6"
"Dat1_Cell_00838","eL2/3"
"Dat1_Cell_00840","eL2/3"
"Dat1_Cell_00841","Astro"
"Dat1_Cell_00842","Oligo"
"Dat1_Cell_00843","eL6"
"Dat1_Cell_00844","Astro"
"Dat1_Cell_00845","eL4"
"Dat1_Cell_00846","Endo"
"Dat1_Cell_00847","eL2/3"
"Dat1_Cell_00848","Astro"
"Dat1_Cell_00850","eL5"
"Dat1_Cell_00851","Endo"
"Dat1_Cell_00853","PVALB"
"Dat1_Cell_00855","eL6"
"Dat1_Cell_00856","eL4"
"Dat1_Cell_00857","Endo"
"Dat1_Cell_00858","Astro"
"Dat1_Cell_00859","eL6"
"Dat1_Cell_00860","eL4"
"Dat1_Cell_00861","eL4"
"Dat1_Cell_00863","eL6"
"Dat1_Cell_00864","Astro"
"Dat1_Cell_00865","Oligo"
"Dat1_Cell_00866","eL4"
"Dat1_Cell_00867","eL6"
"Dat1_Cell_00868","eL2/3"
"Dat1_Cell_00869","eL2/3"
"Dat1_Cell_00870","VIP"
"Dat1_Cell_00871","Oligo"
"Dat1_Cell_00873","eL2/3"
"Dat1_Cell_00874","Oligo"
"Dat1_Cell_00875","eL4"
"Dat1_Cell_00876","Micro"
"Dat1_Cell_00877","Micro"
"Dat1_Cell_00878","eL6"
"Dat1_Cell_00879","eL6"
"Dat1_Cell_00880","PVALB"
"Dat1_Cell_00881","eL5"
"Dat1_Cell_00882","eL4"
"Dat1_Cell_00883","VIP"
"Dat1_Cell_00884","Oligo"
"Dat1_Cell_00886","eL2/3"
"Dat1_Cell_00887","eL4"
"Dat1_Cell_00889","eL4"
"Dat1_Cell_00890","Oligo"
"Dat1_Cell_00891","eL4"
"Dat1_Cell_00892","eL2/3"
"Dat1_Cell_00893","Oligo"
"Dat1_Cell_00894","Endo"
"Dat1_Cell_00895","Endo"
"Dat1_Cell_00897","Oligo"
"Dat1_Cell_00898","SST"
"Dat1_Cell_00899","Endo"
"Dat1_Cell_00900","Oligo"
"Dat1_Cell_00901","Astro"
"Dat1_Cell_00902","eL6"
"Dat1_Cell_00903","Oligo"
"Dat1_Cell_00904","eL6"
"Dat1_Cell_00905","eL6"
"Dat1_Cell_00906","eL6"
"Dat1_Cell_00907","eL5"
"Dat1_Cell_00908","eL2/3"
"Dat1_Cell_00909","Astro"
"Dat1_Cell_00910","eL6"
"Dat1_Cell_00911","eL4"
"Dat1_Cell_00912","eL2/3"
"Dat1_Cell_00913","Oligo"
"Dat1_Cell_00914","Oligo"
"Dat1_Cell_00915","Oligo"
"Dat1_Cell_00916","eL2/3"
"Dat1_Cell_00917","eL4"
"Dat1_Cell_00918","eL2/3"
"Dat1_Cell_00921","eL2/3"
"Dat1_Cell_00923","eL5"
"Dat1_Cell_00924","eL4"
"Dat1_Cell_00925","eL2/3"
"Dat1_Cell_00926","Micro"
"Dat1_Cell_00927","PVALB"
"Dat1_Cell_00928","eL4"
"Dat1_Cell_00930","eL5"
"Dat1_Cell_00931","Oligo"
"Dat1_Cell_00932","Astro"
"Dat1_Cell_00933","eL4"
"Dat1_Cell_00934","Oligo"
"Dat1_Cell_00935","eL2/3"
"Dat1_Cell_00937","eL2/3"
"Dat1_Cell_00938","SST"
"Dat1_Cell_00939","eL2/3"
"Dat1_Cell_00940","Oligo"
"Dat1_Cell_00941","Astro"
"Dat1_Cell_00943","eL6"
"Dat1_Cell_00944","eL6"
"Dat1_Cell_00945","eL4"
"Dat1_Cell_00947","eL2/3"
"Dat1_Cell_00948","eL6"
"Dat1_Cell_00949","eL2/3"
"Dat1_Cell_00950","VIP"
"Dat1_Cell_00951","eL6"
"Dat1_Cell_00952","eL2/3"
"Dat1_Cell_00953","Astro"
"Dat1_Cell_00954","Oligo"
"Dat1_Cell_00955","Astro"
"Dat1_Cell_00956","eL5"
"Dat1_Cell_00957","Oligo"
"Dat1_Cell_00958","eL4"
"Dat1_Cell_00959","eL4"
"Dat1_Cell_00960","eL4"
"Dat1_Cell_00961","eL6"
"Dat1_Cell_00962","eL4"
"Dat1_Cell_00963","eL4"
"Dat1_Cell_00965","eL2/3"
"Dat1_Cell_00967","Oligo"
"Dat1_Cell_00968","Astro"
"Dat1_Cell_00969","eL6"
"Dat1_Cell_00970","eL6"
"Dat1_Cell_00971","Astro"
"Dat1_Cell_00972","eL4"
"Dat1_Cell_00973","Astro"
"Dat1_Cell_00974","Astro"
"Dat1_Cell_00975","PVALB"
"Dat1_Cell_00976","Oligo"
"Dat1_Cell_00977","eL6"
"Dat1_Cell_00978","Astro"
"Dat1_Cell_00979","eL5"
"Dat1_Cell_00980","eL6"
"Dat1_Cell_00981","Astro"
"Dat1_Cell_00982","eL2/3"
"Dat1_Cell_00983","Astro"
"Dat1_Cell_00984","eL4"
"Dat1_Cell_00985","Astro"
"Dat1_Cell_00986","eL4"
"Dat1_Cell_00987","Endo"
"Dat1_Cell_00988","eL6"
"Dat1_Cell_00989","PVALB"
"Dat1_Cell_00990","Astro"
"Dat1_Cell_00991","Endo"
"Dat1_Cell_00992","eL2/3"
"Dat1_Cell_00993","eL6"
"Dat1_Cell_00994","Micro"
"Dat1_Cell_00995","PVALB"
"Dat1_Cell_00996","eL4"
"Dat1_Cell_00998","eL6"
"Dat1_Cell_00999","eL5"
"Dat1_Cell_01000","Oligo"
"Dat1_Cell_01001","eL6"
"Dat1_Cell_01002","eL2/3"
"Dat1_Cell_01003","eL6"
"Dat1_Cell_01004","Astro"
"Dat1_Cell_01005","eL6"
"Dat1_Cell_01006","eL4"
"Dat1_Cell_01007","Micro"
"Dat1_Cell_01008","eL6"
"Dat1_Cell_01009","eL4"
"Dat1_Cell_01010","eL4"
"Dat1_Cell_01011","eL6"
"Dat1_Cell_01012","eL4"
"Dat1_Cell_01013","eL2/3"
"Dat1_Cell_01015","Astro"
"Dat1_Cell_01017","Astro"
"Dat1_Cell_01019","Micro"
"Dat1_Cell_01020","eL2/3"
"Dat1_Cell_01021","Oligo"
"Dat1_Cell_01022","PVALB"
"Dat1_Cell_01023","eL6"
"Dat1_Cell_01024","eL2/3"
"Dat1_Cell_01025","eL4"
"Dat1_Cell_01026","Oligo"
"Dat1_Cell_01027","PVALB"
"Dat1_Cell_01028","eL6"
"Dat1_Cell_01029","Oligo"
"Dat1_Cell_01030","eL4"
"Dat1_Cell_01031","Astro"
"Dat1_Cell_01032","eL4"
"Dat1_Cell_01033","eL4"
"Dat1_Cell_01034","Oligo"
"Dat1_Cell_01035","eL6"
"Dat1_Cell_01036","eL2/3"
"Dat1_Cell_01037","eL2/3"
"Dat1_Cell_01038","Micro"
"Dat1_Cell_01039","Astro"
"Dat1_Cell_01040","Oligo"
"Dat1_Cell_01041","eL4"
"Dat1_Cell_01042","Oligo"
"Dat1_Cell_01043","Endo"
"Dat1_Cell_01044","SST"
"Dat1_Cell_01045","eL4"
"Dat1_Cell_01046","eL6"
"Dat1_Cell_01047","eL4"
"Dat1_Cell_01048","eL2/3"
"Dat1_Cell_01049","eL2/3"
"Dat1_Cell_01050","Astro"
"Dat1_Cell_01051","eL5"
"Dat1_Cell_01052","eL4"
"Dat1_Cell_01053","eL6"
"Dat1_Cell_01054","eL6"
"Dat1_Cell_01055","eL6"
"Dat1_Cell_01056","Astro"
"Dat1_Cell_01057","SST"
"Dat1_Cell_01058","eL6"
"Dat1_Cell_01059","Micro"
"Dat1_Cell_01061","PVALB"
"Dat1_Cell_01062","eL6"
"Dat1_Cell_01063","Astro"
"Dat1_Cell_01064","eL2/3"
"Dat1_Cell_01065","eL6"
"Dat1_Cell_01066","Astro"
"Dat1_Cell_01067","eL6"
"Dat1_Cell_01068","Oligo"
"Dat1_Cell_01069","Endo"
"Dat1_Cell_01070","eL2/3"
"Dat1_Cell_01071","Oligo"
"Dat1_Cell_01072","eL6"
"Dat1_Cell_01073","SST"
"Dat1_Cell_01074","eL6"
"Dat1_Cell_01075","eL5"
"Dat1_Cell_01076","eL6"
"Dat1_Cell_01078","Oligo"
"Dat1_Cell_01079","Endo"
"Dat1_Cell_01080","Endo"
"Dat1_Cell_01083","Astro"
"Dat1_Cell_01084","Astro"
"Dat1_Cell_01086","eL2/3"
"Dat1_Cell_01087","Oligo"
"Dat1_Cell_01089","eL6"
"Dat1_Cell_01090","eL2/3"
"Dat1_Cell_01091","SST"
"Dat1_Cell_01092","Astro"
"Dat1_Cell_01093","eL6"
"Dat1_Cell_01094","Oligo"
"Dat1_Cell_01095","eL6"
"Dat1_Cell_01096","Oligo"
"Dat1_Cell_01097","eL6"
"Dat1_Cell_01098","eL5"
"Dat1_Cell_01099","eL4"
"Dat1_Cell_01100","eL2/3"
"Dat1_Cell_01101","eL2/3"
"Dat1_Cell_01102","eL6"
"Dat1_Cell_01103","eL6"
"Dat1_Cell_01104","eL2/3"
"Dat1_Cell_01105","Micro"
"Dat1_Cell_01106","eL4"
"Dat1_Cell_01107","eL6"
"Dat1_Cell_01108","eL6"
"Dat1_Cell_01109","Astro"
"Dat1_Cell_01110","Micro"
"Dat1_Cell_01112","Endo"
"Dat1_Cell_01113","eL2/3"
"Dat1_Cell_01114","eL4"
"Dat1_Cell_01115","eL6"
"Dat1_Cell_01116","eL6"
"Dat1_Cell_01117","eL2/3"
"Dat1_Cell_01118","eL6"
"Dat1_Cell_01119","eL4"
"Dat1_Cell_01120","Oligo"
"Dat1_Cell_01121","eL6"
"Dat1_Cell_01122","Astro"
"Dat1_Cell_01124","Astro"
"Dat1_Cell_01125","Oligo"
"Dat1_Cell_01127","eL2/3"
"Dat1_Cell_01128","Astro"
"Dat1_Cell_01129","eL4"
"Dat1_Cell_01131","eL5"
"Dat1_Cell_01132","PVALB"
"Dat1_Cell_01133","eL2/3"
"Dat1_Cell_01134","eL5"
"Dat1_Cell_01135","Oligo"
"Dat1_Cell_01136","eL4"
"Dat1_Cell_01137","eL6"
"Dat1_Cell_01139","eL2/3"
"Dat1_Cell_01141","eL4"
"Dat1_Cell_01142","eL2/3"
"Dat1_Cell_01144","eL4"
"Dat1_Cell_01145","eL4"
"Dat1_Cell_01146","eL6"
"Dat1_Cell_01147","eL5"
"Dat1_Cell_01148","Astro"
"Dat1_Cell_01149","eL2/3"
"Dat1_Cell_01151","eL6"
"Dat1_Cell_01152","eL4"
"Dat1_Cell_01153","Astro"
"Dat1_Cell_01154","SST"
"Dat1_Cell_01155","eL2/3"
"Dat1_Cell_01156","eL2/3"
"Dat1_Cell_01157","Astro"
"Dat1_Cell_01158","eL6"
"Dat1_Cell_01159","eL4"
"Dat1_Cell_01162","eL4"
"Dat1_Cell_01163","eL4"
"Dat1_Cell_01164","eL5"
"Dat1_Cell_01165","eL4"
"Dat1_Cell_01167","Astro"
"Dat1_Cell_01168","Oligo"
"Dat1_Cell_01169","eL4"
"Dat1_Cell_01171","eL6"
"Dat1_Cell_01173","eL6"
"Dat1_Cell_01176","Astro"
"Dat1_Cell_01177","Astro"
"Dat1_Cell_01178","Oligo"
"Dat1_Cell_01180","eL6"
"Dat1_Cell_01181","eL4"
"Dat1_Cell_01182","Astro"
"Dat1_Cell_01183","eL6"
"Dat1_Cell_01184","Oligo"
"Dat1_Cell_01185","eL5"
"Dat1_Cell_01186","PVALB"
"Dat1_Cell_01187","eL2/3"
"Dat1_Cell_01188","eL6"
"Dat1_Cell_01189","eL2/3"
"Dat1_Cell_01190","eL6"
"Dat1_Cell_01191","eL6"
"Dat1_Cell_01192","eL2/3"
"Dat1_Cell_01193","Smc"
"Dat1_Cell_01194","Oligo"
"Dat1_Cell_01195","eL2/3"
"Dat1_Cell_01197","Astro"
"Dat1_Cell_01199","eL2/3"
"Dat1_Cell_01200","Astro"
"Dat1_Cell_01201","eL6"
"Dat1_Cell_01202","eL4"
"Dat1_Cell_01203","Oligo"
"Dat1_Cell_01204","eL2/3"
"Dat1_Cell_01205","eL6"
"Dat1_Cell_01206","eL2/3"
"Dat1_Cell_01207","eL6"
"Dat1_Cell_01209","eL4"
"Dat1_Cell_01212","eL2/3"
"Dat1_Cell_01213","eL4"
"Dat1_Cell_01214","eL4"
"Dat1_Cell_01215","eL2/3"
"Dat1_Cell_01217","Micro"
"Dat1_Cell_01218","Astro"
"Dat1_Cell_01219","eL2/3"
"Dat1_Cell_01220","eL6"
"Dat1_Cell_01221","eL2/3"
"Dat1_Cell_01222","eL2/3"
"Dat1_Cell_01223","eL4"
"Dat1_Cell_01224","Oligo"
"Dat1_Cell_01226","eL4"
"Dat1_Cell_01227","Oligo"
"Dat1_Cell_01228","eL5"
"Dat1_Cell_01229","Oligo"
"Dat1_Cell_01230","Astro"
"Dat1_Cell_01231","eL2/3"
"Dat1_Cell_01232","Micro"
"Dat1_Cell_01233","Oligo"
"Dat1_Cell_01234","PVALB"
"Dat1_Cell_01235","Micro"
"Dat1_Cell_01236","eL6"
"Dat1_Cell_01237","Endo"
"Dat1_Cell_01238","Oligo"
"Dat1_Cell_01239","PVALB"
"Dat1_Cell_01240","eL6"
"Dat1_Cell_01241","Smc"
"Dat1_Cell_01242","eL6"
"Dat1_Cell_01243","eL5"
"Dat1_Cell_01244","Micro"
"Dat1_Cell_01245","eL2/3"
"Dat1_Cell_01246","eL6"
"Dat1_Cell_01247","eL5"
"Dat1_Cell_01250","eL6"
"Dat1_Cell_01251","Smc"
"Dat1_Cell_01252","Endo"
"Dat1_Cell_01253","Oligo"
"Dat1_Cell_01254","PVALB"
"Dat1_Cell_01255","Astro"
"Dat1_Cell_01256","Oligo"
"Dat1_Cell_01257","Smc"
"Dat1_Cell_01258","eL6"
"Dat1_Cell_01259","eL6"
"Dat1_Cell_01260","eL5"
"Dat1_Cell_01261","eL2/3"
"Dat1_Cell_01262","Astro"
"Dat1_Cell_01263","eL4"
"Dat1_Cell_01264","eL2/3"
"Dat1_Cell_01265","Oligo"
"Dat1_Cell_01266","eL2/3"
"Dat1_Cell_01267","Endo"
"Dat1_Cell_01268","eL2/3"
"Dat1_Cell_01269","eL4"
"Dat1_Cell_01270","eL6"
"Dat1_Cell_01271","Astro"
"Dat1_Cell_01272","Astro"
"Dat1_Cell_01273","eL4"
"Dat1_Cell_01274","eL2/3"
"Dat1_Cell_01275","eL2/3"
"Dat1_Cell_01276","eL2/3"
"Dat1_Cell_01277","Oligo"
"Dat1_Cell_01278","eL6"
"Dat1_Cell_01279","eL4"
"Dat1_Cell_01280","Smc"
"Dat1_Cell_01281","Astro"
"Dat1_Cell_01282","eL6"
"Dat1_Cell_01283","eL4"
"Dat1_Cell_01284","Endo"
"Dat1_Cell_01285","Astro"
"Dat1_Cell_01286","Astro"
"Dat1_Cell_01287","eL5"
"Dat1_Cell_01288","eL6"
"Dat1_Cell_01289","eL6"
"Dat1_Cell_01290","SST"
"Dat1_Cell_01291","Micro"
"Dat1_Cell_01292","eL4"
"Dat1_Cell_01293","eL6"
"Dat1_Cell_01294","eL2/3"
"Dat1_Cell_01296","eL6"
"Dat1_Cell_01298","eL6"
"Dat1_Cell_01299","eL4"
"Dat1_Cell_01300","Endo"
"Dat1_Cell_01301","Smc"
"Dat1_Cell_01302","Oligo"
"Dat1_Cell_01303","Astro"
"Dat1_Cell_01304","eL4"
"Dat1_Cell_01305","eL2/3"
"Dat1_Cell_01306","Oligo"
"Dat1_Cell_01307","eL5"
"Dat1_Cell_01308","eL6"
"Dat1_Cell_01309","eL5"
"Dat1_Cell_01310","Astro"
"Dat1_Cell_01311","eL6"
"Dat1_Cell_01313","Astro"
"Dat1_Cell_01315","Smc"
"Dat1_Cell_01316","eL6"
"Dat1_Cell_01317","PVALB"
"Dat1_Cell_01318","Oligo"
"Dat1_Cell_01319","Oligo"
"Dat1_Cell_01320","eL2/3"
"Dat1_Cell_01321","Oligo"
"Dat1_Cell_01322","Oligo"
"Dat1_Cell_01323","eL4"
"Dat1_Cell_01324","Astro"
"Dat1_Cell_01325","eL4"
"Dat1_Cell_01326","eL6"
"Dat1_Cell_01329","eL6"
"Dat1_Cell_01331","eL2/3"
"Dat1_Cell_01332","Oligo"
"Dat1_Cell_01333","eL4"
"Dat1_Cell_01334","eL2/3"
"Dat1_Cell_01335","eL6"
"Dat1_Cell_01336","eL2/3"
"Dat1_Cell_01337","eL2/3"
"Dat1_Cell_01339","Smc"
"Dat1_Cell_01341","eL4"
"Dat1_Cell_01346","Oligo"
"Dat1_Cell_01347","eL2/3"
"Dat1_Cell_01348","eL4"
"Dat1_Cell_01349","eL2/3"
"Dat1_Cell_01350","eL2/3"
"Dat1_Cell_01351","Oligo"
"Dat1_Cell_01352","eL4"
"Dat1_Cell_01353","eL6"
"Dat1_Cell_01354","eL5"
"Dat1_Cell_01355","eL6"
"Dat1_Cell_01356","eL4"
"Dat1_Cell_01357","SST"
"Dat1_Cell_01358","eL2/3"
"Dat1_Cell_01359","Oligo"
"Dat1_Cell_01360","eL6"
"Dat1_Cell_01362","Oligo"
"Dat1_Cell_01363","eL6"
"Dat1_Cell_01364","eL4"
"Dat1_Cell_01365","Micro"
"Dat1_Cell_01367","eL2/3"
"Dat1_Cell_01368","Micro"
"Dat1_Cell_01369","eL6"
"Dat1_Cell_01370","eL6"
"Dat1_Cell_01372","Oligo"
"Dat1_Cell_01374","Astro"
"Dat1_Cell_01376","Oligo"
"Dat1_Cell_01377","eL4"
"Dat1_Cell_01378","Oligo"
"Dat1_Cell_01379","eL5"
"Dat1_Cell_01380","eL2/3"
"Dat1_Cell_01381","eL6"
"Dat1_Cell_01382","eL6"
"Dat1_Cell_01384","eL4"
"Dat1_Cell_01386","Smc"
"Dat1_Cell_01388","Astro"
"Dat2_Cell_00000","eL2/3"
"Dat2_Cell_00001","eL6"
"Dat2_Cell_00003","Astro"
"Dat2_Cell_00004","eL6"
"Dat2_Cell_00005","eL2/3"
"Dat2_Cell_00006","PVALB"
"Dat2_Cell_00007","Endo"
"Dat2_Cell_00008","VIP"
"Dat2_Cell_00010","SST"
"Dat2_Cell_00012","Astro"
"Dat2_Cell_00013","Smc"
"Dat2_Cell_00014","eL6"
"Dat2_Cell_00015","Endo"
"Dat2_Cell_00016","eL6"
"Dat2_Cell_00017","eL4"
"Dat2_Cell_00018","eL2/3"
"Dat2_Cell_00020","eL2/3"
"Dat2_Cell_00021","Astro"
"Dat2_Cell_00022","Micro"
"Dat2_Cell_00023","eL4"
"Dat2_Cell_00024","eL6"
"Dat2_Cell_00025","eL6"
"Dat2_Cell_00026","Astro"
"Dat2_Cell_00027","Endo"
"Dat2_Cell_00028","eL4"
"Dat2_Cell_00029","Oligo"
"Dat2_Cell_00030","eL6"
"Dat2_Cell_00031","VIP"
"Dat2_Cell_00032","Smc"
"Dat2_Cell_00033","Oligo"
"Dat2_Cell_00034","eL5"
"Dat2_Cell_00035","eL5"
"Dat2_Cell_00037","eL6"
"Dat2_Cell_00038","Astro"
"Dat2_Cell_00040","Oligo"
"Dat2_Cell_00041","PVALB"
"Dat2_Cell_00042","eL2/3"
"Dat2_Cell_00043","eL4"
"Dat2_Cell_00044","eL6"
"Dat2_Cell_00045","eL6"
"Dat2_Cell_00046","Astro"
"Dat2_Cell_00047","VIP"
"Dat2_Cell_00048","eL5"
"Dat2_Cell_00049","Astro"
"Dat2_Cell_00050","eL6"
"Dat2_Cell_00051","eL6"
"Dat2_Cell_00054","VIP"
"Dat2_Cell_00055","eL4"
"Dat2_Cell_00056","Astro"
"Dat2_Cell_00057","Smc"
"Dat2_Cell_00058","Oligo"
"Dat2_Cell_00059","eL6"
"Dat2_Cell_00061","Oligo"
"Dat2_Cell_00062","Endo"
"Dat2_Cell_00063","eL2/3"
"Dat2_Cell_00064","Astro"
"Dat2_Cell_00065","Oligo"
"Dat2_Cell_00066","eL4"
"Dat2_Cell_00068","eL6"
"Dat2_Cell_00069","eL5"
"Dat2_Cell_00070","eL4"
"Dat2_Cell_00071","eL2/3"
"Dat2_Cell_00072","eL6"
"Dat2_Cell_00073","eL2/3"
"Dat2_Cell_00075","eL6"
"Dat2_Cell_00076","Astro"
"Dat2_Cell_00077","Endo"
"Dat2_Cell_00078","eL6"
"Dat2_Cell_00079","eL4"
"Dat2_Cell_00080","eL4"
"Dat2_Cell_00081","Astro"
"Dat2_Cell_00082","eL6"
"Dat2_Cell_00084","eL2/3"
"Dat2_Cell_00085","eL6"
"Dat2_Cell_00086","Smc"
"Dat2_Cell_00088","eL6"
"Dat2_Cell_00090","eL5"
"Dat2_Cell_00091","eL6"
"Dat2_Cell_00092","eL4"
"Dat2_Cell_00093","eL6"
"Dat2_Cell_00094","eL4"
"Dat2_Cell_00095","eL5"
"Dat2_Cell_00096","eL5"
"Dat2_Cell_00097","eL4"
"Dat2_Cell_00098","Oligo"
"Dat2_Cell_00099","eL6"
"Dat2_Cell_00100","Astro"
"Dat2_Cell_00101","PVALB"
"Dat2_Cell_00102","Astro"
"Dat2_Cell_00103","eL6"
"Dat2_Cell_00104","Oligo"
"Dat2_Cell_00105","Endo"
"Dat2_Cell_00106","eL2/3"
"Dat2_Cell_00107","Endo"
"Dat2_Cell_00108","eL2/3"
"Dat2_Cell_00109","eL2/3"
"Dat2_Cell_00110","eL4"
"Dat2_Cell_00111","eL4"
"Dat2_Cell_00112","Oligo"
"Dat2_Cell_00113","eL6"
"Dat2_Cell_00114","Oligo"
"Dat2_Cell_00115","eL4"
"Dat2_Cell_00116","eL6"
"Dat2_Cell_00117","eL5"
"Dat2_Cell_00118","Smc"
"Dat2_Cell_00119","Oligo"
"Dat2_Cell_00120","Oligo"
"Dat2_Cell_00121","Endo"
"Dat2_Cell_00122","eL6"
"Dat2_Cell_00123","PVALB"
"Dat2_Cell_00124","eL4"
"Dat2_Cell_00125","eL4"
"Dat2_Cell_00126","eL6"
"Dat2_Cell_00127","Astro"
"Dat2_Cell_00129","eL6"
"Dat2_Cell_00130","eL4"
"Dat2_Cell_00131","Smc"
"Dat2_Cell_00132","eL6"
"Dat2_Cell_00133","eL2/3"
"Dat2_Cell_00134","eL6"
"Dat2_Cell_00135","PVALB"
"Dat2_Cell_00136","Astro"
"Dat2_Cell_00137","Oligo"
"Dat2_Cell_00138","eL2/3"
"Dat2_Cell_00139","eL2/3"
"Dat2_Cell_00140","eL4"
"Dat2_Cell_00141","Oligo"
"Dat2_Cell_00142","eL6"
"Dat2_Cell_00143","Astro"
"Dat2_Cell_00144","Oligo"
"Dat2_Cell_00146","Astro"
"Dat2_Cell_00147","eL4"
"Dat2_Cell_00148","PVALB"
"Dat2_Cell_00149","eL2/3"
"Dat2_Cell_00151","Astro"
"Dat2_Cell_00152","eL4"
"Dat2_Cell_00153","Smc"
"Dat2_Cell_00154","Oligo"
"Dat2_Cell_00155","Oligo"
"Dat2_Cell_00156","Astro"
"Dat2_Cell_00157","Oligo"
"Dat2_Cell_00158","Oligo"
"Dat2_Cell_00159","eL4"
"Dat2_Cell_00160","eL2/3"
"Dat2_Cell_00161","eL5"
"Dat2_Cell_00162","eL4"
"Dat2_Cell_00163","Oligo"
"Dat2_Cell_00164","Oligo"
"Dat2_Cell_00165","Astro"
"Dat2_Cell_00167","Endo"
"Dat2_Cell_00168","Astro"
"Dat2_Cell_00169","Endo"
"Dat2_Cell_00170","Endo"
"Dat2_Cell_00171","eL4"
"Dat2_Cell_00172","Endo"
"Dat2_Cell_00174","Oligo"
"Dat2_Cell_00175","eL6"
"Dat2_Cell_00176","Astro"
"Dat2_Cell_00177","eL2/3"
"Dat2_Cell_00179","Oligo"
"Dat2_Cell_00180","eL6"
"Dat2_Cell_00181","eL4"
"Dat2_Cell_00182","Oligo"
"Dat2_Cell_00183","eL4"
"Dat2_Cell_00184","Endo"
